Word,Freq,Rank
"air,",39,467
behind,39,468
harpoon,39,469
knew,39,470
lord,39,471
struck,39,472
wondrous,39,473
seas,38,474
brought,38,475
boat's,38,476
ocean,38,477
lost,38,478
death,38,479
green,38,480
board,38,481
various,38,482
"out,",38,483
placed,37,484
oh!,37,485
gave,37,486
"""and",37,487
felt,37,488
five,37,489
itself,37,490
"eyes,",37,491
around,37,492
nigh,37,493
human,37,494
mortal,37,495
plainly,37,496
makes,37,497
"thee,",36,498
land,36,499
work,36,500
story,36,501
"yes,",36,502
single,36,503
soul,36,504
leaving,36,505
people,36,506
"""what",36,507
"nevertheless,",36,508
wind,36,509
therefore,36,510
savage,36,511
"long,",36,512
"us,",36,513
anything,36,514
time.,35,515
art,35,516
"more,",35,517
ready,35,518
them;,35,519
"""aye,",35,520
harpooneers,35,521
"back,",35,522
chance,35,523
given,35,524
sharp,35,525
holding,34,526
help,34,527
voice,34,528
"in,",34,529
"flask,",34,530
bear,34,531
famous,34,532
nearly,34,533
"world,",34,534
all.,34,535
"voyage,",34,536
sudden,34,537
chase,34,538
"other,",34,539
indeed,34,540
seeing,34,541
sailor.,33,542
dick,33,543
"said,",33,544
account,33,545
clear,33,546
blue,33,547
sailors,33,548
bottom,33,549
red,33,550
turns,33,551
passed,33,552
flask,33,553
what's,33,554
says,32,555
"bildad,",32,556
waters,32,557
completely,32,558
"boats,",32,559
speak,32,560
darted,32,561
held,32,562
already,32,563
natural,32,564
greenland,32,565
fell,32,566
morning,32,567
shot,32,568
"times,",32,569
there;,32,570
"crew,",32,571
"no,",32,572
"however,",32,573
fixed,32,574
heavy,32,575
unknown,32,576
bones,32,577
sound,32,578
ship.,32,579
cape,32,580
hardly,32,581
sailed,32,582
de,32,583
there!,31,584
want,31,585
drawing,31,586
seamen,31,587
blood,31,588
fast,31,589
aloft,31,590
show,31,591
again.,31,592
mark,31,593
"himself,",31,594
there.,31,595
short,31,596
really,30,597
"perhaps,",30,598
won't,30,599
parts,30,600
devil,30,601
cast,30,602
bed,30,603
upper,30,604
carried,30,605
"pequod,",30,606
"be,",30,607
sure,30,608
during,30,609
fair,30,610
american,30,611
sailing,30,612
sign,30,613
cabin,30,614
fifty,30,615
"down,",30,616
"""but",30,617
else,30,618
somehow,30,619
monster,30,620
remained,30,621
tail,30,622
considering,29,623
final,29,624
craft,29,625
"fishery,",29,626
stranger,29,627
head.,29,628
"fish,",29,629
sleep,29,630
"done,",29,631
top,29,632
proper,29,633
heads,29,634
"therefore,",29,635
"away,",29,636
chief,29,637
fire,29,638
spout,29,639
try,29,640
forward,28,641
object,28,642
man.,28,643
d'ye,28,644
"besides,",28,645
entirely,28,646
tossed,28,647
distance,28,648
sailor,28,649
done,28,650
huge,28,651
rest,28,652
become,28,653
pretty,28,654
cry,28,655
possibly,28,656
"thing,",28,657
"itself,",28,658
low,28,659
idea,28,660
strangely,28,661
rising,28,662
i.,28,663
"moment,",28,664
either,28,665
"nantucket,",28,666
king,28,667
hours,27,668
"her,",27,669
"look,",27,670
ahab.,27,671
mate,27,672
me;,27,673
peleg,27,674
rolling,27,675
deck.,27,676
